"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Switzerland","","Strength","-","68.3"
"2","United Kingdom","","Strength","-","62.4"
"3","Sweden","","Strength","-","62.4"
"4","Netherlands","","Strength","-","61.6"
"5","United States of America","","","-","60.1"
"6","Finland","","","-","60.0"
"7","Singapore","","","-","59.4"
"8","Ireland","","","-","59.1"
"9","Luxembourg","","","-","59.0"
"10","Denmark","","","-","57.7"
"11","Hong Kong (China)","","","-","57.2"
"12","Germany","","","-","57.1"
"13","Iceland","","","-","57.0"
"14","Korea, Republic of","","","-","56.3"
"15","New Zealand","","","-","55.9"
"16","Canada","","","-","55.7"
"17","Australia","","","-","55.2"
"18","Austria","","","-","54.1"
"19","Japan","","","-","54.0"
"20","Norway","","","-","53.8"
"21","France","","","-","53.6"
"22","Israel","","","-","53.5"
"23","Estonia","","","-","52.8"
"24","Czech Republic","","","-","51.3"
"25","Belgium","","","-","50.9"
"26","Malta","","","-","50.5"
"27","Spain","","","-","49.1"
"28","Slovenia","","","-","48.5"
"29","China","","","-","47.5"
"30","Portugal","","","-","46.6"
"31","Italy","","","-","46.4"
"32","Malaysia","","","-","46.0"
"33","Latvia","","","-","45.5"
"34","Cyprus","","","-","43.5"
"35","Hungary","","","-","43.0"
"36","Slovakia","","","-","43.0"
"37","Barbados","","","-","42.5"
"38","Lithuania","","","-","42.3"
"39","Bulgaria","","","-","42.2"
"40","Croatia","","","-","41.7"
"41","Montenegro","","","-","41.2"
"42","Chile","","","-","41.2"
"43","Saudi Arabia","","","-","40.7"
"44","Moldova, Republic of","","","-","40.5"
"45","Greece","","","-","40.3"
"46","Poland","","","-","40.2"
"47","United Arab Emirates","","","-","40.1"
"48","Russian Federation","","","-","39.3"
"49","Mauritius","","","-","39.2"
"50","Qatar","","","-","39.0"
"51","Costa Rica","","","-","38.6"
"52","Viet Nam","","","-","38.3"
"53","Belarus","","","-","38.2"
"54","Romania","","","-","38.2"
"55","Thailand","","","-","38.1"
"56","TFYR Macedonia","","","-","38.0"
"57","Mexico","","","-","38.0"
"58","Turkey","","","-","37.8"
"59","Bahrain","","","-","37.7"
"60","South Africa","","","-","37.4"
"61","Armenia","","","-","37.3"
"62","Panama","","","-","36.8"
"63","Serbia","","","-","36.5"
"64","Ukraine","","","-","36.5"
"65","Seychelles","","","-","36.4"
"66","Mongolia","","","-","36.4"
"67","Colombia","","","-","36.4"
"68","Uruguay","","","-","35.8"
"69","Oman","","","-","35.0"
"70","Brazil","","","-","34.9"
"71","Peru","","","-","34.9"
"72","Argentina","","","-","34.3"
"73","Georgia","","","-","33.8"
"74","Lebanon","","","-","33.8"
"75","Jordan","","","-","33.8"
"76","Tunisia","","","-","33.5"
"77","Kuwait","","","-","33.2"
"78","Morocco","","","-","33.2"
"79","Bosnia and Herzegovina","","","-","32.3"
"80","Trinidad and Tobago","","","-","32.2"
"81","India","","","-","31.7"
"82","Kazakhstan","","","-","31.2"
"83","Philippines","","","-","31.1"
"84","Senegal","","","-","31.0"
"85","Sri Lanka","","","-","30.8"
"86","Guyana","","","-","30.7"
"87","Albania","","","-","30.7"
"88","Paraguay","","","-","30.7"
"89","Dominican Republic","","","-","30.6"
"90","Botswana","","","-","30.5"
"91","Cambodia","","","-","30.4"
"92","Kenya","","","-","30.2"
"93","Azerbaijan","","","-","30.1"
"94","Rwanda","","","-","30.1"
"95","Mozambique","","","-","30.1"
"96","Jamaica","","","-","29.9"
"97","Indonesia","","","-","29.8"
"98","Malawi","","","-","29.7"
"99","El Salvador","","","-","29.3"
"100","Egypt","","","-","28.9"
"101","Guatemala","","","-","28.8"
"102","Burkina Faso","","","-","28.7"
"103","Cabo Verde","","","-","28.6"
"104","Bolivia, Plurinational State of","","","-","28.6"
"105","Mali","","","-","28.4"
"106","Iran, Islamic Republic of","","","-","28.4"
"107","Namibia","","","-","28.1"
"108","Ghana","","","-","28.0"
"109","Kyrgyzstan","","","-","28.0"
"110","Cameroon","","","-","27.8"
"111","Uganda","","","-","27.6"
"112","Gambia","","","-","27.5"
"113","Honduras","","","-","27.5"
"114","Tajikistan","","","-","27.5"
"115","Fiji","","","-","27.3"
"116","Cote dIvoire","","","-","27.2"
"117","Tanzania, United Republic of","","","-","27.0"
"118","Lesotho","","","-","27.0"
"119","Ecuador","","","-","26.9"
"120","Angola","","","-","26.2"
"121","Bhutan","","","-","26.1"
"122","Uzbekistan","","","-","25.9"
"123","Swaziland","","","-","25.4"
"124","Zambia","","","-","24.6"
"125","Madagascar","","","-","24.4"
"126","Algeria","","","-","24.4"
"127","Ethiopia","","","-","24.2"
"128","Nigeria","","","-","23.7"
"129","Bangladesh","","","-","23.7"
"130","Nicaragua","","","-","23.5"
"131","Pakistan","","Weakness","-","23.1"
"132","Venezuela, Bolivarian Republic of","","","-","22.8"
"133","Zimbabwe","","","-","22.5"
"134","Niger","","","-","21.2"
"135","Nepal","","Weakness","-","21.1"
"136","Burundi","","","-","21.0"
"137","Yemen","","Weakness","-","20.8"
"138","Myanmar","","","-","20.3"
"139","Guinea","","Weakness","-","18.5"
"140","Togo","","Weakness","-","18.4"
"141","Sudan","","Weakness","-","15.0"
